Sun 08 Sep 2024, 04:56PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
5.065, 12, Clicked: RED, x=470,  y=263,  DARK_RED: x=444,  y=227,  dx=-0.07598817132224117,  dy=-0.0650061367803204,  clicks=13,  score=13, ORANGE: x=760,  y=470,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=2,  score=0, YELLOW: x=905,  y=566,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
5.18, 13, Clicked: RED, x=470,  y=263,  DARK_RED: x=433,  y=218,  dx=-0.07598817132224117,  dy=-0.0650061367803204,  clicks=14,  score=14, ORANGE: x=769,  y=462,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=2,  score=0, YELLOW: x=919,  y=560,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
5.644, 14, Clicked: ORANGE, x=832,  y=407,  RED: x=390,  y=182,  dx=-0.07598817132224117,  dy=-0.0650061367803204,  clicks=14,  score=14, DARK_ORANGE: x=807,  y=429,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=3,  score=1, YELLOW: x=975,  y=534,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
5.792, 15, Clicked: ORANGE, x=832,  y=407,  RED: x=377,  y=170,  dx=-0.07598817132224117,  dy=-0.0650061367803204,  clicks=14,  score=14, DARK_ORANGE: x=819,  y=419,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=4,  score=2, YELLOW: x=992,  y=526,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
5.907, 16, Clicked: ORANGE, x=832,  y=407,  RED: x=366,  y=161,  dx=-0.07598817132224117,  dy=-0.0650061367803204,  clicks=14,  score=14, DARK_ORANGE: x=829,  y=410,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=5,  score=3, YELLOW: x=1006,  y=519,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
6.04, 17, Clicked: ORANGE, x=832,  y=406,  RED: x=354,  y=167,  dx=-0.07598817132224117,  dy=0.0650061367803204,  clicks=14,  score=14, DARK_ORANGE: x=840,  y=401,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=6,  score=4, YELLOW: x=1022,  y=512,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
6.62, 18, Clicked: RED, x=317,  y=250,  DARK_RED: x=301,  y=213,  dx=-0.07598817132224117,  dy=0.0650061367803204,  clicks=15,  score=14, ORANGE: x=887,  y=360,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=6,  score=4, YELLOW: x=1092,  y=479,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
6.981, 18, Clicked: RED, x=295,  y=274,  DARK_RED: x=267,  y=241,  dx=-0.07598817132224117,  dy=0.0650061367803204,  clicks=16,  score=14, ORANGE: x=917,  y=334,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=6,  score=4, YELLOW: x=1136,  y=459,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
7.13, 18, Clicked: RED, x=279,  y=285,  DARK_RED: x=254,  y=253,  dx=-0.07598817132224117,  dy=0.0650061367803204,  clicks=17,  score=14, ORANGE: x=929,  y=324,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=6,  score=4, YELLOW: x=1153,  y=451,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
7.246, 18, Clicked: RED, x=275,  y=288,  DARK_RED: x=243,  y=262,  dx=-0.07598817132224117,  dy=0.0650061367803204,  clicks=18,  score=14, ORANGE: x=938,  y=316,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=6,  score=4, YELLOW: x=1167,  y=444,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
7.378, 18, Clicked: RED, x=264,  y=296,  DARK_RED: x=231,  y=273,  dx=-0.07598817132224117,  dy=0.0650061367803204,  clicks=19,  score=14, ORANGE: x=949,  y=306,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=6,  score=4, YELLOW: x=1183,  y=437,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
7.578, 18, Clicked: RED, x=260,  y=299,  DARK_RED: x=213,  y=288,  dx=-0.07598817132224117,  dy=0.0650061367803204,  clicks=20,  score=14, ORANGE: x=965,  y=292,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=6,  score=4, YELLOW: x=1207,  y=426,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
7.986, 18, Clicked: RED, x=196,  y=336,  DARK_RED: x=175,  y=321,  dx=-0.07598817132224117,  dy=0.0650061367803204,  clicks=21,  score=14, ORANGE: x=999,  y=263,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=6,  score=4, YELLOW: x=1257,  y=402,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
8.152, 18, Clicked: RED, x=188,  y=353,  DARK_RED: x=160,  y=334,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=22,  score=14, ORANGE: x=1013,  y=251,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=6,  score=4, YELLOW: x=1277,  y=393,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
8.251, 18, Clicked: RED, x=188,  y=354,  DARK_RED: x=169,  y=342,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=23,  score=14, ORANGE: x=1021,  y=244,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=6,  score=4, YELLOW: x=1289,  y=388,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
