Tue 10 Sep 2024, 10:54PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
5.488, 15, Clicked: RED, x=606,  y=753,  DARK_RED: x=591,  y=744,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=16,  score=16, ORANGE: x=735,  y=411,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=897,  y=746,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
5.62, 16, Clicked: RED, x=598,  y=753,  DARK_RED: x=577,  y=736,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=17,  score=17, ORANGE: x=737,  y=427,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=881,  y=745,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
6.244, 17, Clicked: RED, x=509,  y=697,  DARK_RED: x=509,  y=703,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=18,  score=18, ORANGE: x=748,  y=502,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=805,  y=744,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
6.376, 18, Clicked: RED, x=508,  y=697,  DARK_RED: x=494,  y=696,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=19,  score=19, ORANGE: x=750,  y=518,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=789,  y=744,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
6.59, 19, Clicked: RED, x=481,  y=689,  DARK_RED: x=471,  y=684,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=20,  score=20, ORANGE: x=754,  y=544,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=763,  y=743,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
6.736, 20, Clicked: RED, x=464,  y=687,  DARK_RED: x=455,  y=676,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=21,  score=21, ORANGE: x=756,  y=561,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=745,  y=743,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
7.21, 21, Clicked: RED, x=398,  y=660,  DARK_RED: x=403,  y=650,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=22,  score=22, ORANGE: x=764,  y=619,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=687,  y=741,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
7.571, 22, Clicked: RED, x=359,  y=628,  DARK_RED: x=364,  y=631,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=23,  score=23, ORANGE: x=770,  y=662,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=643,  y=741,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
7.932, 23, Clicked: RED, x=350,  y=619,  DARK_RED: x=324,  y=611,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=24,  score=24, ORANGE: x=777,  y=706,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=599,  y=740,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
8.313, 24, Clicked: RED, x=292,  y=595,  DARK_RED: x=283,  y=591,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=25,  score=25, ORANGE: x=783,  y=752,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=553,  y=739,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
8.492, 25, Clicked: RED, x=274,  y=586,  DARK_RED: x=263,  y=581,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=26,  score=26, ORANGE: x=786,  y=773,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=531,  y=738,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
8.625, 26, Clicked: RED, x=268,  y=581,  DARK_RED: x=249,  y=574,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=27,  score=27, ORANGE: x=788,  y=789,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=515,  y=738,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
8.773, 27, Clicked: RED, x=266,  y=579,  DARK_RED: x=233,  y=566,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=28,  score=28, ORANGE: x=791,  y=807,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=497,  y=738,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
9.003, 28, Clicked: RED, x=213,  y=542,  DARK_RED: x=208,  y=553,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=29,  score=29, ORANGE: x=795,  y=835,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=469,  y=737,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
9.15, 29, Clicked: RED, x=213,  y=541,  DARK_RED: x=192,  y=545,  dx=-0.08959004460169205,  dy=-0.04442548714720898,  clicks=30,  score=30, ORANGE: x=797,  y=853,  dx=0.014077839927156664,  dy=0.09900411316195583,  clicks=0,  score=0, YELLOW: x=451,  y=737,  dx=-0.09997867725647873,  dy=-0.002064968291491364,  clicks=0,  score=0,
