Thu 12 Sep 2024, 02:21AM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
8.807, 2, Clicked: RED, x=1117,  y=282,  DARK_RED: x=1123,  y=241,  dx=-0.008551598044931781,  dy=-0.09963367990231978,  clicks=10,  score=0, ORANGE: x=830,  y=587,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=606,  y=302,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
9.133, 2, Clicked: RED, x=1112,  y=219,  DARK_RED: x=1120,  y=201,  dx=-0.008551598044931781,  dy=-0.09963367990231978,  clicks=11,  score=0, ORANGE: x=875,  y=575,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=629,  y=280,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
9.346, 2, Clicked: RED, x=1110,  y=211,  DARK_RED: x=1117,  y=176,  dx=-0.008551598044931781,  dy=-0.09963367990231978,  clicks=12,  score=0, ORANGE: x=904,  y=567,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=645,  y=266,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
9.528, 2, Clicked: RED, x=1110,  y=217,  DARK_RED: x=1115,  y=163,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=13,  score=0, ORANGE: x=929,  y=561,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=658,  y=254,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
9.74, 2, Clicked: RED, x=1105,  y=193,  DARK_RED: x=1113,  y=189,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=14,  score=0, ORANGE: x=958,  y=553,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=673,  y=240,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
9.921, 2, Clicked: RED, x=1103,  y=212,  DARK_RED: x=1111,  y=211,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=15,  score=0, ORANGE: x=983,  y=547,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=686,  y=228,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
10.068, 2, Clicked: RED, x=1103,  y=212,  DARK_RED: x=1110,  y=229,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=16,  score=0, ORANGE: x=1003,  y=541,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=696,  y=218,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
10.672, 2, Clicked: RED, x=1066,  y=334,  DARK_RED: x=1103,  y=303,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=17,  score=0, ORANGE: x=1087,  y=520,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=739,  y=178,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
10.821, 2, Clicked: RED, x=1066,  y=342,  DARK_RED: x=1102,  y=321,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=18,  score=0, ORANGE: x=1107,  y=514,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=750,  y=168,  dx=0.05852739012713215,  dy=-0.054630268807124335,  clicks=2,  score=2,
10.971, 2, Clicked: RED, x=1065,  y=349,  DARK_RED: x=1100,  y=339,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=19,  score=0, ORANGE: x=1128,  y=509,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=761,  y=161,  dx=0.05852739012713215,  dy=0.054630268807124335,  clicks=2,  score=2,
11.234, 2, Clicked: RED, x=1064,  y=359,  DARK_RED: x=1098,  y=371,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=20,  score=0, ORANGE: x=1164,  y=500,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=779,  y=178,  dx=0.05852739012713215,  dy=0.054630268807124335,  clicks=2,  score=2,
11.381, 2, Clicked: RED, x=1060,  y=384,  DARK_RED: x=1096,  y=389,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=21,  score=1, ORANGE: x=1184,  y=494,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=790,  y=188,  dx=0.05852739012713215,  dy=0.054630268807124335,  clicks=2,  score=2,
11.725, 3, Clicked: RED, x=1058,  y=408,  DARK_RED: x=1093,  y=431,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=22,  score=2, ORANGE: x=1231,  y=482,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=814,  y=211,  dx=0.05852739012713215,  dy=0.054630268807124335,  clicks=2,  score=2,
11.972, 4, Clicked: RED, x=1055,  y=434,  DARK_RED: x=1090,  y=460,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=23,  score=3, ORANGE: x=1265,  y=473,  dx=0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=832,  y=227,  dx=0.05852739012713215,  dy=0.054630268807124335,  clicks=2,  score=2,
12.463, 5, Clicked: RED, x=1036,  y=526,  DARK_RED: x=1085,  y=520,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=24,  score=4, ORANGE: x=1228,  y=456,  dx=-0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=867,  y=260,  dx=0.05852739012713215,  dy=0.054630268807124335,  clicks=2,  score=2,
12.631, 6, Clicked: RED, x=1036,  y=533,  DARK_RED: x=1083,  y=540,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=25,  score=5, ORANGE: x=1205,  y=450,  dx=-0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=879,  y=271,  dx=0.05852739012713215,  dy=0.054630268807124335,  clicks=2,  score=2,
12.977, 7, Clicked: RED, x=1034,  y=586,  DARK_RED: x=1080,  y=582,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=26,  score=6, ORANGE: x=1158,  y=438,  dx=-0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=903,  y=294,  dx=0.05852739012713215,  dy=0.054630268807124335,  clicks=2,  score=2,
13.127, 8, Clicked: RED, x=1035,  y=593,  DARK_RED: x=1078,  y=600,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=27,  score=7, ORANGE: x=1137,  y=432,  dx=-0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=914,  y=304,  dx=0.05852739012713215,  dy=0.054630268807124335,  clicks=2,  score=2,
13.472, 9, Clicked: RED, x=1032,  y=631,  DARK_RED: x=1074,  y=642,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=28,  score=8, ORANGE: x=1090,  y=420,  dx=-0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=938,  y=327,  dx=0.05852739012713215,  dy=0.054630268807124335,  clicks=2,  score=2,
13.636, 10, Clicked: RED, x=1033,  y=637,  DARK_RED: x=1073,  y=662,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=29,  score=9, ORANGE: x=1067,  y=414,  dx=-0.11283264479634737,  dy=-0.029306528338053195,  clicks=3,  score=0, YELLOW: x=950,  y=338,  dx=0.05852739012713215,  dy=0.054630268807124335,  clicks=2,  score=2,
13.767, 11, Clicked: RED, x=1034,  y=652,  DARK_RED: x=1071,  y=678,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=30,  score=10, ORANGE: x=1056,  y=414,  dx=0.04263108095027855,  dy=0.07772065848794224,  clicks=3,  score=0, YELLOW: x=953,  y=342,  dx=-0.09693633561949377,  dy=-0.0523969180188711,  clicks=2,  score=2,
13.915, 12, Clicked: RED, x=1034,  y=653,  DARK_RED: x=1070,  y=696,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=31,  score=11, ORANGE: x=1063,  y=428,  dx=0.04263108095027855,  dy=0.07772065848794224,  clicks=3,  score=0, YELLOW: x=936,  y=333,  dx=-0.09693633561949377,  dy=-0.0523969180188711,  clicks=2,  score=2,
14.063, 13, Clicked: None, x=1034, y=656,  RED: x=1068,  y=713,  dx=-0.008551598044931781,  dy=0.09963367990231978,  clicks=31,  score=11, ORANGE: x=1071,  y=442,  dx=0.04263108095027855,  dy=0.07772065848794224,  clicks=3,  score=0, YELLOW: x=918,  y=323,  dx=-0.09693633561949377,  dy=-0.0523969180188711,  clicks=2,  score=2,
14.535, 13, Clicked: RED, x=1036,  y=712,  DARK_RED: x=1063,  y=710,  dx=-0.008551598044931781,  dy=-0.09963367990231978,  clicks=32,  score=12, ORANGE: x=1096,  y=487,  dx=0.04263108095027855,  dy=0.07772065848794224,  clicks=3,  score=0, YELLOW: x=862,  y=293,  dx=-0.09693633561949377,  dy=-0.0523969180188711,  clicks=2,  score=2,
14.684, 14, Clicked: RED, x=1038,  y=711,  DARK_RED: x=1062,  y=692,  dx=-0.008551598044931781,  dy=-0.09963367990231978,  clicks=33,  score=13, ORANGE: x=1103,  y=501,  dx=0.04263108095027855,  dy=0.07772065848794224,  clicks=3,  score=0, YELLOW: x=845,  y=283,  dx=-0.09693633561949377,  dy=-0.0523969180188711,  clicks=2,  score=2,
14.85, 15, Clicked: RED, x=1038,  y=710,  DARK_RED: x=1060,  y=672,  dx=-0.008551598044931781,  dy=-0.09963367990231978,  clicks=34,  score=14, ORANGE: x=1112,  y=516,  dx=0.04263108095027855,  dy=0.07772065848794224,  clicks=3,  score=0, YELLOW: x=825,  y=273,  dx=-0.09693633561949377,  dy=-0.0523969180188711,  clicks=2,  score=2,
26.027, 16, Clicked: None, x=400, y=733,  RED: x=429,  y=328,  dx=0.002507175265724512,  dy=-0.11441128942339407,  clicks=34,  score=14, ORANGE: x=271,  y=400,  dx=-0.03999050350512326,  dy=0.11024552936562118,  clicks=3,  score=0, YELLOW: x=160,  y=577,  dx=0.04957629975776871,  dy=0.026318136546720675,  clicks=2,  score=2,
