Tue 10 Sep 2024, 11:05PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
################# INIT balls ######################
6.096, Init stimuli, 0, 
6.096, 0, Clicked: Shuffle, x=1812, y=39,  RED: x=732,  y=347,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1749,  y=1013,  dx=-0.05708939656470226,  dy=-0.0821023799891219,  clicks=0,  score=0, YELLOW: x=70,  y=531,  dx=-0.02778815621387794,  dy=0.09606153431125863,  clicks=0,  score=0,
16.795, 13, Clicked: None, x=536, y=253, Clicked: None, x=536, y=253, Clicked: YELLOW, x=536,  y=253,  RED: x=879,  y=319,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1010,  y=460,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=519,  y=252,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=14,  score=14,
17.11, 14, Clicked: None, x=544, y=293, Clicked: None, x=544, y=293, Clicked: YELLOW, x=544,  y=293,  RED: x=917,  y=318,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=989,  y=491,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=529,  y=288,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=15,  score=15,
17.344, 15, Clicked: None, x=555, y=332, Clicked: None, x=555, y=332, Clicked: YELLOW, x=555,  y=332,  RED: x=945,  y=317,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=973,  y=514,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=0,  score=0, DARK_YELLOW: x=537,  y=315,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
17.859, 16, Clicked: None, x=950, y=601, Clicked: ORANGE, x=950,  y=601,  RED: x=1007,  y=316,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=937,  y=565,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=1,  score=0, YELLOW: x=554,  y=375,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
18.025, 16, Clicked: None, x=950, y=601, Clicked: ORANGE, x=950,  y=601,  RED: x=1027,  y=315,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=926,  y=582,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=2,  score=0, YELLOW: x=560,  y=394,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
18.156, 16, Clicked: None, x=939, y=625, Clicked: ORANGE, x=939,  y=625,  RED: x=1043,  y=315,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=917,  y=595,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=3,  score=0, YELLOW: x=564,  y=409,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
18.29, 16, Clicked: None, x=938, y=628, Clicked: ORANGE, x=938,  y=628,  RED: x=1059,  y=315,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=908,  y=608,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=4,  score=0, YELLOW: x=569,  y=425,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
18.722, 16, Clicked: None, x=1080, y=381, Clicked: None, x=1080, y=381, Clicked: None, x=1080, y=381,  RED: x=1111,  y=314,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=878,  y=650,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=4,  score=0, YELLOW: x=583,  y=475,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
19.036, 16, Clicked: None, x=780, y=798, Clicked: None, x=780, y=798, Clicked: None, x=780, y=798,  RED: x=1149,  y=313,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=856,  y=682,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=4,  score=0, YELLOW: x=594,  y=511,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
19.299, 16, Clicked: None, x=812, y=700, Clicked: ORANGE, x=812,  y=700,  RED: x=1181,  y=312,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=838,  y=708,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=5,  score=0, YELLOW: x=602,  y=542,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
19.482, 16, Clicked: None, x=809, y=740, Clicked: ORANGE, x=809,  y=740,  RED: x=1203,  y=312,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=825,  y=726,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=6,  score=0, YELLOW: x=609,  y=563,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
19.648, 16, Clicked: None, x=806, y=758, Clicked: ORANGE, x=806,  y=758,  RED: x=1223,  y=311,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=814,  y=742,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=7,  score=0, YELLOW: x=614,  y=582,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
19.844, 16, Clicked: None, x=798, y=775, Clicked: ORANGE, x=798,  y=775,  RED: x=1247,  y=311,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=800,  y=762,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=8,  score=0, YELLOW: x=621,  y=605,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
19.959, 16, Clicked: None, x=796, y=779, Clicked: ORANGE, x=796,  y=779,  RED: x=1261,  y=310,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=792,  y=774,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=9,  score=0, YELLOW: x=625,  y=619,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
20.138, 16, Clicked: None, x=777, y=800, Clicked: ORANGE, x=777,  y=800,  RED: x=1283,  y=310,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=780,  y=792,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=10,  score=0, YELLOW: x=631,  y=640,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
